id;label;chapterId
N40-N51;Enfermedades de los órganos genitales masculinos;XIV
N30-N39;Otras enfermedades del sistema urinario;XIV
N60-N64;Trastornos de la mama;XIV
N70-N77;Enfermedades inflamatorias de los órganos pélvicos femeninos;XIV
N80-N98;Trastornos no inflamatorios de los órganos genitales femeninos;XIV
N99-N99;Otros trastornos del sistema genitourinario;XIV
I00-I02;Fiebre reumática aguda;IX
I05-I09;Enfermedades cardíacas reumáticas crónicas;IX
I10-I15;Enfermedades hipertensivas;IX
I20-I25;Enfermedades isquémicas del corazón;IX
I26-I28;Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar;IX
I30-I52;Otras formas de enfermedad del corazón;IX
I60-I69;Enfermedades cerebrovasculares;IX
I70-I79;Enfermedades de las arterias, de las arteriolas y de los vasos capilares;IX
I80-I89;Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte;IX
I95-I99;Otros trastornos y los no especificados del sistema circulatorio;IX
K00-K14;Diseases of oral cavity, salivary glands and jaws;XI
K20-K31;Diseases of oesophagus, stomach and duodenum;XI
K35-K38;Diseases of appendix;XI
K40-K46;Hernia;XI
K50-K52;Noninfective enteritis and colitis;XI
K55-K64;Other diseases of intestines;XI
K65-K67;Diseases of peritoneum;XI
K70-K77;Diseases of liver;XI
K80-K87;Disorders of gallbladder, biliary tract and pancreas;XI
K90-K93;Other diseases of the digestive system;XI
S00-S09;Traumatismos de la cabeza;XIX
S10-S19;Traumatismos del cuello;XIX
S20-S29;Traumatismos del tórax;XIX
S30-S39;Traumatismos del abdomen, de la región lumbosacra, de la columna   lumbar y de la pelvis;XIX
S40-S49;Traumatismos del hombro y del brazo;XIX
S60-S69;Traumatismos de la muñeca y de la mano;XIX
S50-S59;Traumatismos del antebrazo y del codo;XIX
S70-S79;Traumatismos de la cadera y del muslo;XIX
S80-S89;Traumatismos de la rodilla y de la pierna;XIX
S90-S99;Traumatismos del tobillo y del pie;XIX
T00-T07;Traumatismos que afectan múltiples regiones del cuerpo;XIX
T08-T14;Traumatismos de parte no especificada del tronco, miembro o región   del cuerpo;XIX
T15-T19;Efectos de cuerpos extraños que penetran por orificios naturales;XIX
T20-T32;Quemaduras y corrosiones;XIX
T33-T35;Congelamiento;XIX
T36-T50;Envenenamiento por drogas, medicamentos y sustancias biológicas;XIX
T51-T65;Efectos tóxicos de sustancias de procedencia principalmente no medicinal;XIX
T66-T78;Otros efectos y los no especificados de causas externas;XIX
T79-T79;Algunas complicaciones precoces de traumatismos;XIX
T90-T98;Secuelas de traumatismos, de envenenamientos y de otras consecuencias de causas externas;XIX
T80-T88;Complicaciones de la atención médica y quirúrgica, no clasificadas en otra parte;XIX
R00-R09;Síntomas y signos que involucran los sistemas circulatorio y respiratorio;XVIII
R20-R23;Síntomas y signos que involucran la piel y el tejido subcutáneo;XVIII
R10-R19;Síntomas y signos que involucran el sistema digestivo y el abdomen;XVIII
R25-R29;Síntomas y signos que involucran los sistemas nervioso y osteomuscular;XVIII
R30-R39;Síntomas y signos que involucran el sistema urinario;XVIII
R40-R46;Síntomas y signos que involucran el conocimiento, la percepción, el estado emocional y la conducta;XVIII
R47-R49;Síntomas y signos que involucran el habla y la voz;XVIII
R50-R69;Síntomas y signos generales;XVIII
R70-R79;Hallazgos anormales en el examen de sangre, sin diagnóstico;XVIII
R80-R82;Hallazgos anormales en el examen de orina, sin diagnóstico;XVIII
R83-R89;Hallazgos anormales en el examen de otros líquidos, sustancias y tejidos corporales, sin diagnóstico;XVIII
R90-R94;Hallazgos anormales en diagnóstico por imágenes y en estudios funcionales, sin diagnóstico;XVIII
R95-R99;Causas de mortalidad mal definidas y desconocidas;XVIII
Z00-Z13;Personas en contacto con los servicios de salud para investigación y exámenes;XXI
Z40-Z54;Personas en contacto con los servicios de salud para procedimientos específicos y cuidados de salud;XXI
Z20-Z29;Personas con riesgos potenciales para su salud, relacionados con enfermedades transmisibles;XXI
Z30-Z39;Personas en contacto con los servicios de salud en circunstancias relacionadas con la reproducción;XXI
Z55-Z65;Personas con riesgos potenciales para su salud, relacionados con circunstancias socioeconómicas y psicosociales;XXI
Z80-Z99;Personas con riesgos potenciales para su salud, relacionados con su historia familiar y personal, y algunas condiciones que influyen sobre su estado de salud;XXI
Z70-Z76;Personas en contacto con los servicios de salud por otras circunstancias;XXI
P00-P04;Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto;XVI
P05-P08;Trastornos relacionados con la duración de la gestación y el crecimiento fetal;XVI
P10-P15;Traumatismo del nacimiento;XVI
P20-P29;Trastornos respiratorios y cardiovasculares específicos del período perinatal;XVI
P35-P39;Infecciones específicas del período perinatal;XVI
P50-P61;Trastornos hemorrágicos y hematológicos del feto y del recién nacido;XVI
P70-P74;Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido;XVI
P75-P78;Trastornos del sistema digestivo del feto y del recién nacido;XVI
P80-P83;Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido;XVI
P90-P96;Otros trastornos originados en el período perinatal;XVI
Q00-Q07;Malformaciones congénitas del sistema nervioso;XVII
Q10-Q18;Malformaciones congénitas del ojo, del oído, de la cara y del cuello;XVII
Q20-Q28;Malformaciones congénitas del sistema circulatorio;XVII
Q30-Q34;Malformaciones congénitas del sistema respiratorio;XVII
Q35-Q37;Fisura del paladar y labio leporino;XVII
Q50-Q56;Malformaciones congénitas de los órganos genitales;XVII
Q38-Q45;Otras malformaciones congénitas del sistema digestivo;XVII
Q60-Q64;Malformaciones congénitas del sistema urinario;XVII
Q65-Q79;Malformaciones y deformidades congénitas del sistema osteomuscular;XVII
Q80-Q89;Otras malformaciones congénitas;XVII
Q90-Q99;Anomalías cromosómicas, no clasificadas en otra parte;XVII
M00-M25;Artropatías;XIII
M30-M36;Trastornos sistémicos del tejido conjuntivo;XIII
M40-M54;Dorsopatías;XIII
M60-M79;Trastornos de los tejidos blandos;XIII
M80-M94;Osteopatías y condropatías;XIII
M95-M99;Otros trastornos del sistema osteomuscular y del tejido conjuntivo;XIII
V01-X59;Accidentes;XX
X60-X84;Lesiones autoinfligidas intencionalmente;XX
X85-Y09;Agresiones;XX
Y10-Y34;Eventos de intención no determinada;XX
Y35-Y36;Intervención legal y operaciones de guerra;XX
Y40-Y84;Complicaciones de la atención médica y quirúrgica;XX
Y85-Y89;Secuelas de causas externas de morbilidad y de mortalidad;XX
Y90-Y98;Factores suplementarios relacionados con causas de morbilidad y de mortalidad clasificadas en otra parte;XX
J00-J06;Infecciones agudas de las vías respiratorias superiores;X
J09-J18;Influenza (gripe) y neumonía;X
J20-J22;Otras infecciones agudas de las vías respiratorias inferiores;X
J30-J39;Otras enfermedades de las vías respiratorias superiores;X
J40-J47;Enfermedades crónicas de las vías respiratorias inferiores;X
J60-J70;Enfermedades del pulmón debidas a agentes externos;X
J80-J84;Otras enfermedades respiratorias que afectan principalmente el intersticio;X
J85-J86;Afecciones supurativas y necróticas de las vías respiratorias inferiores;X
J90-J94;Otras enfermedades de la pleura;X
J95-J99;Otras enfermedades del sistema respiratorio;X
U00-U49;Asignación provisoria de nuevas afecciones de etiología incierta;XXII
U82-U85;Resistance to antimicrobial and antineoplastic drugs;XXII
